postcode,eastings,northings,source
BB2 6DF,367394,428672,postcodes
BB2 6QU,365012,428779,postcodes
BB2 7AD,366262,428761,terminated_postcodes
BB3 1AF,369012,422319,postcodes
BB3 1HZ,368279,423052,postcodes
BB3 2NG,369420,420504,postcodes
BB3 3HD,369407,422102,postcodes
BB4 4EY,378946,421489,postcodes
BB4 6LR,379466,421679,postcodes
BB4 6RX,380180,422555,postcodes
BB4 7BJ,383761,421916,postcodes
BB4 8HW,381293,423579,postcodes
BB5 1NT,375926,428424,postcodes
BB5 4AY,375219,429494,postcodes
BB5 5PJ,374489,431133,postcodes
BB7 2DJ,374554,442124,postcodes
BB7 9PZ,369010,439041,postcodes
BB8 8HH,388866,438979,postcodes
BB9 7YT,385547,438709,postcodes
BB9 8LF,387308,438633,postcodes
BD1 5BD,416892,433194,postcodes
BD1 5LD,416729,432835,postcodes
BD10 0NR,419927,438253,postcodes
BD10 9AQ,418077,438289,postcodes
BD13 5AD,407031,436790,postcodes
BD14 6JX,412444,431228,postcodes
BD16 1EE,411428,438319,postcodes
BD16 2RS,410227,439957,postcodes
BD17 5RH,413641,438463,postcodes
BD18 3JW,414023,437869,postcodes
BD2 1JP,417001,435969,postcodes
BD20 6ED,405556,442717,postcodes
BD20 7RL,400829,444837,postcodes
BD22 7DU,404999,439755,postcodes
BD23 1PL,398604,451917,postcodes
BD23 1QL,398304,451970,postcodes
BD23 1US,397687,451924,postcodes
BD23 2DB,398678,450822,postcodes
BD24 0AU,381433,464056,postcodes
BD24 0DE,381043,463971,postcodes
BD3 0LT,416820,434393,postcodes
BD3 8HE,418751,433399,postcodes
BD4 6NR,419879,429876,postcodes
BD4 7QS,417627,431287,postcodes
BD4 7RH,417540,431336,postcodes
BD4 9PH,418210,431017,postcodes
BD5 0DX,416529,432554,postcodes
BD5 7JR,416223,431838,postcodes
BD5 7PE,415643,431464,postcodes
BD5 9DH,415216,431078,postcodes
BD5 9ET,414772,430877,postcodes
BD6 2LE,414441,429573,postcodes
BD7 1AY,415374,432843,postcodes
BD8 0DH,412691,433642,postcodes
BD8 7DA,415724,434401,postcodes
BD8 8EJ,415505,433668,postcodes
BD8 9AR,414361,433525,postcodes
BD8 9ES,414515,433846,postcodes
BD9 4BQ,414095,435459,postcodes
BD9 4JP,415253,435387,postcodes
BD9 6NA,412423,435936,postcodes
BD9 6RY,412800,435760,postcodes
BH1 1PA,409394,91553,terminated_postcodes
BH10 5HS,407077,95191,postcodes
BH11 9JW,405719,96108,postcodes
BH12 4HU,405076,93239,postcodes
BH12 4LL,404732,94304,postcodes
BH12 5AD,405251,94610,postcodes
BH12 5BN,406399,93812,postcodes
BH13 6AS,405855,91720,terminated_postcodes
BH14 0LS,402787,91677,postcodes
BH15 2BW,401240,91655,postcodes
BH15 3HY,402581,93044,postcodes
BH16 6JD,395957,93504,postcodes
BH16 6JN,396071,91254,postcodes
BH17 7EP,401026,94030,postcodes
BH17 8RE,402452,94340,postcodes
BH17 9JU,401486,94983,postcodes
BH17 9NG,401327,94591,postcodes
BH18 9BG,399673,96672,postcodes
BH2 6LD,408710,91983,postcodes
BH20 4PF,391466,87069,postcodes
BH20 6NU,384096,88129,terminated_postcodes
BH21 2SS,402162,100866,postcodes
BH21 3AA,400913,98357,postcodes
BH21 3AD,403370,98910,postcodes
BH21 4DT,399751,100747,postcodes
BH21 5RU,406203,115065,postcodes
BH22 9EY,406976,100735,postcodes
